Subject,dkey,skey,Block,TrialNum,CorrResp,Match,Probe,Accuracy,RTms,Ziffer1,Ziffer2,Ziffer3,Ziffer4,Ziffer5,n_pre,n_filter,n_finalintra,LogRT,RTs,RespSpeed,PropFilter,PropDel,PropTotal
45,l,d,S3,20,l,0,1,1,725,2,5,7,NA,NA,19,19,19,6.58617165485467,0.725,1.37931034482759,0,0,0
45,l,d,S3,21,d,1,5,1,1328,7,1,5,NA,NA,16,16,16,7.19142933003638,1.328,0.753012048192771,0,0,0
45,l,d,S3,22,d,1,8,1,1070,8,9,3,NA,NA,16,16,16,6.97541392745595,1.07,0.934579439252336,0,0,0
45,l,d,S3,23,l,0,7,1,1067,1,3,5,NA,NA,19,19,19,6.97260625130175,1.067,0.937207122774133,0,0,0
45,l,d,S3,24,d,1,0,1,952,6,0,5,NA,NA,16,16,16,6.85856503479136,0.952,1.05042016806723,0,0,0
45,l,d,S3,25,d,1,6,1,1057,0,6,7,NA,NA,16,16,16,6.96318998587024,1.057,0.946073793755913,0,0,0
45,l,d,S3,26,d,1,4,1,938,9,4,6,NA,NA,16,16,16,6.84374994900622,0.938,1.06609808102345,0,0,0
45,l,d,S3,27,l,0,7,1,816,3,8,1,NA,NA,19,19,19,6.70441435496411,0.816,1.22549019607843,0,0,0
45,l,d,S3,28,l,0,1,1,795,9,7,4,NA,NA,19,19,19,6.67834211465433,0.795,1.25786163522013,0,0,0
45,l,d,S3,29,d,1,9,1,1019,4,9,2,NA,NA,16,16,16,6.92657703322272,1.019,0.98135426889107,0,0,0
45,l,d,S3,30,l,0,2,1,602,8,5,0,NA,NA,19,19,19,6.40025744530882,0.602,1.66112956810631,0,0,0
45,l,d,S3,31,l,0,9,1,1785,2,7,8,NA,NA,19,19,19,7.48717369421374,1.785,0.560224089635854,0,0,0
45,l,d,S3,32,l,0,0,1,689,5,6,2,NA,NA,19,19,19,6.53524127101366,0.689,1.45137880986938,0,0,0
45,l,d,S3,33,d,1,7,1,1249,9,4,7,NA,NA,16,16,16,7.13009851012558,1.249,0.800640512409928,0,0,0
45,l,d,S3,34,l,0,8,1,1674,5,6,1,NA,NA,19,19,19,7.42297125104942,1.674,0.597371565113501,0,0,0
45,l,d,S3,36,d,1,2,1,1338,2,9,5,NA,NA,16,16,16,7.19893124068817,1.338,0.747384155455904,0,0,0
45,l,d,S3,37,d,1,1,1,1076,1,2,8,NA,NA,16,16,16,6.98100574072173,1.076,0.929368029739777,0,0,0
45,l,d,S3,38,l,0,3,1,1185,5,0,8,NA,NA,19,19,19,7.07749805356923,1.185,0.843881856540084,0,0,0
45,l,d,S3,39,d,1,5,1,1405,5,2,3,NA,NA,16,16,16,7.24779258176785,1.405,0.711743772241993,0,0,0
45,l,d,S3,40,l,0,8,1,1388,4,3,0,NA,NA,19,19,19,7.23561914106675,1.388,0.720461095100865,0,0,0
45,l,d,S5,1,d,1,1,1,2062,5,1,9,0,8,19,19,19,7.63143166457691,2.062,0.484966052376334,0,0,0
45,l,d,S5,2,d,1,5,1,735,4,8,5,9,2,19,19,19,6.59987049921284,0.735,1.36054421768707,0,0,0
45,l,d,S5,3,d,1,2,1,921,2,7,5,1,4,19,19,19,6.82546003625531,0.921,1.085776330076,0,0,0
45,l,d,S5,4,l,0,1,1,864,5,3,9,4,2,19,19,19,6.76157276880406,0.864,1.15740740740741,0,0,0
45,l,d,S5,5,d,1,0,1,1349,4,0,8,6,3,19,19,19,7.20711885620776,1.349,0.741289844329133,0,0,0
45,l,d,S5,6,d,1,4,1,1078,9,0,3,2,4,19,19,19,6.98286275146894,1.078,0.927643784786642,0,0,0
